Text,Section,Publication,Title,Date
" instead, they say his dishonesty and cruelty are acceptable because congress could check him if he really got out of hand. like so much else about the trump campaign, this assertion rests on fantasy. an unusual number of republican lawmakers have come out against him, but most have not. why are so many siding with a candidate who is so unfit? high on the list of probable motives is fear of a primary challenge. if gop lawmakers are cowering before candidate trump, how could they stand up to president trump? in addition to his wealth and political base, he would wield the vast power of the executive branch. there is little doubt that he'd use it to punish those who displease him. when house speaker paul ryan said he'd no longer defend his bad behavior, trump responded, ""i would think that ryan wouldn't be there."" in light of such threats, republicans would hesitate to oppose trump's choices for federal office or hold tough investigations into his management of the government. and it is hard to imagine that they'd reach for the ultimate weapon of impeachment. maybe congressional republicans would suddenly get a miraculous infusion of courage and institutional fidelity. but i would not count on it. as ryan acknowledges: ""under both parties, the presidency keeps breaking the rules, and congress keeps allowing it to happen."" even if lawmakers wanted to put some kind of restraint on a trump administration, they'd have only limited ability to do so. they could turn down some of his legislative requests, but they'd have a hard time tracking what his administration was doing. the feebleness of congressional oversight has been a problem even under a more-or-less normal person such as barack obama. it would be a disaster under a fanatically secretive person such as trump. he won't release his tax returns, and he makes his campaign aides sign non-disclosure agreements. the mind boggles at the information that his administration would withhold. congress has always been at a disadvantage in checking the president's power over foreign policy and national security. presidents have used military force hundreds of times without congressional approval. congress passed the 1973 war powers act to curb this, but military actions by presidents have continued. the law requires the president to seek congressional authorization within 60 days of starting military action. this requirement does not limit the president's power to launch a nuclear attack -- a process that would take less than an hour. trump probably does not hope for armageddon. but it is all too plausible that his ignorance and rashness could start a crisis that escalates into a nuclear exchange. no one should vote for him in the hope that congress could stay his hand -- because it can't. john j. pitney jr., a former policy aide to republicans in congress, is the roy p",NEWS; Pg. 7A,USA TODAY,Congress could never control President Trump,10/26/16
" tech companies in the standard & poor's 500 index are now on the hook for $451.4 billion in long-term debt, up 42% from just a year ago, according to a usa today analysis of data from s&p global market intelligence based on second-quarter levels, excluding financials. that's the largest borrowing jump among the 10 sectors analyzed and large enough that it could shift the way investors perceive the sector. such aggressive borrowing is a dramatic change for the industry where debt for decades was a dirty word. even today, microsoft  is one of just two u.s. companies that still have perfect aaa debt ratings due to its low level of borrowing relative to cash flow and is a personification of tech's aversion to debt. facebook  has no long-term debt. but that's changing  fast. apple  came into the third quarter owing $68.9 billion, more than any other tech company and up 45% from the prior year. video game maker electronic arts, which had no long-term debt a year ago, now owes just shy of $1 billion. just this week, video streamer netflix  sold $1 billion in debt, a sizable sum that adds to the company's existing $2",MONEY; Pg. 1B,USA TODAY,RICH TECH FIRMS GO ON BORROWING BINGE; Leap in long-term debt -- up 42% in one year-- is a dramatic change for the industry,10/26/16
"05 chg: -$0.82 % chg: -1.6% day's high/low: $51.44/$50.71 the sports-gear maker received a positive note about an increase in inventory just as smaller competitor under armour suffers under slowing sales growth. shares dip in weak industry. alphabet price: $828.55 chg: -$7.19 %chg: -0.9% day's high/low: $838.50/$825.30 google express, an online marketplace that connects shoppers with select retailers, adds delivery service to 14 more states. the app currently has more than 50 merchant partners. fiat chrysler price: $6.54 chg: $0.03 %chg: 0.5% day's high/low: $6.59/$6.41 the automaker earned 47 cents per share in the third quarter, easily beating analyst expectations of 39 cents per share",MONEY; Pg. 5B,USA TODAY,Story stocks,10/26/16
" the company's reliance on the smartphone, which is now a mature and saturated market in the developed world, is starting to create a growth problem for apple. breaking through will be a challenge, reminding investors apple's fundamentals and stock price have peaked. the gadget maker's revenue during the september quarter, even after the launch of a new smartphone, fell 9% to $46.9 billion and net income fell 19% to $9 billion. apple couldn't lift its bottom line even as its no. 1 rival samsung reeled from imploding phones. apple sold 5% fewer smartphones during the quarter than a year earlier. apple needs innovation. its tablet unit sales fell 6% in the quarter and computer sales dropped 14%. apple bulls point out apple shares are up more than 12% this year to $118.25, topping the roughly 5% gain by the standard & poor's 500. but shares are still down 11% from their all-time high of $132 in 2015. even after the 2016 rally, apple is still in a correction. analysts are bullish",MONEY; Pg. 5B,USA TODAY,Apple still has room to stretch; Q: Has Apple reached its peak?,10/26/16
" that's how long it will take to achieve economic parity between the sexes, according to the world economic forum's ""global gender gap report,"" an annual study made public tuesday that measures the relative gaps between women and men in education, health, economic opportunity and political power in 144 countries. even as more women than ever attend universities, the report finds that progress toward gender parity in other areas has slowed dramatically. in last year's report, the forum predicted women would hit economic parity with men in 118 years. in this year's report, the target date has jumped ahead 53 years -- from 2133 to 2186. and highly industrialized nations can't blame the worldwide gender imbalance on poor or developing nations. while nordic nations -- iceland, finland, norway and sweden -- claim the top four spots on the global ranking for gender equity, the african nation rwanda ranks fifth and nicaragua displaced switzerland for 10th place. the index ranks countries on their gender gaps not  development level. the u.s. failed to crack the top 25, ranking a dismal 45th place, a 17-spot slide from last year. the u.s. ranking proves a paradox.  it earns a no. 1 ranking for educational equality -- with equal numbers of men and women enrolled in primary education and more women than men enrolled in higher education -- but 73rd in political empowerment, 62nd in health and survival, and 26th in economic participation and opportunity. women are severely underrepresented on the boards of publicly traded companies, which are 81% male. rwanda broke into the top 10 with big improvements for women in economic participation and opportunity. it also has the highest share of female parliamentarians in the world, at 64%. where a woman lives determines how long she'll have to wait for social, political and economic parity. western europe shows the most promise. those countries have closed 75% of their gender gap and could close their economic gaps by the time a girl born today hits middle age. the worst prospects for women are in the middle east and north africa. there, only israel cracks the global top 50, ranking 49th",NEWS; Pg. 1A,USA TODAY,"170 years from now, women will earn as much as men; Educational strides don't bridge global gap",10/26/16
" the silicon valley company's fiscal year 2016 revenue of $215.6 billion declined 8% from the $233.7 billion it rang up the previous fiscal year. it's the first drop for apple since 2001, shortly before the release of the ipod and the company's comeback under then-ceo steve jobs. the fourth-quarter results, announced after the close of markets, marked apple's third consecutive quarter of declining revenue and iphone shipments. apple reported earnings of $1.67 per share on revenue of $46.9 billion, compared with $1.96 and revenue of $51.5 billion in the same quarter a year ago. the performance was roughly in line with analysts' forecasts of earnings of $1.63 per share on revenue of $46.9 billion",MONEY; Pg. 1B,USA TODAY,"Apple stock tumbles 3% after rare drop in sales; It's the first annual decline since 2001, before iPod's release",10/26/16
" ""it's not a matter of whether it's going to happen, it's when,"" martin, an amusement park safety consultant told usa today. ""the conditions exist."" tuesday's accident occurred on a river rapids ride in dreamworld, a park on australia's eastern coast. preliminary reports indicate a malfunction caused two people to be ejected from a raft and two others somehow to become trapped in the water or by machinery. martin says australia's rides are subject to federal oversight. the u.s. has virtually no federal oversight, with each state ""doing their own thing."" in some states that is very little, martin said. ""they will investigate it faster and they will learn more from it than any investigation in the u.s.,"" martin said of the australian probe. the u.s. is no stranger to amusement ride horrors. less than three months ago, a 10-year-old boy died and two women were injured in an accident on a giant slide at schlitterbahn waterpark in kansas. the kansas city (kan.) police department is conducting an investigation into the cause of the tragedy. u.s. fixed-site amusement and theme parks -- permanent sites such as  disney and six flags parks -- attract about 335million who take 1.6billion rides a year, according to the international association of amusement parks and attractions (iaapa). the likelihood of serious injury is one in 16 million, iaapa says. though rides in those parks generally are safe, enough accidents occur each year that a more comprehensive oversight system should be created, said gary smith, director of the center for injury research and policy at nationwide children's hospital. the iaapa is not so sure. spokeswoman colleen mangone told usa today there are ""well-designed"" international standards for design, construction, operation and maintenance of rides that are written into laws in many states. ""there is no evidence federal oversight would improve on the already excellent safety record of the industry,"" mangone said. the u.s. consumer product safety commission is responsible for overseeing traveling carnivals and temporary rides at county fairs, though they don't conduct inspections, said patty davis, a  spokeswoman. the commission sets voluntary safety standards. the commission used to oversee all amusement parks, but in the early 1980s congress removed fixed-site parks from their realm. martin says it would be difficult to win approval for federal oversight",NEWS; Pg. 3A,USA TODAY,Australia theme park accident puts focus on USA; U.S. amusement parks lack oversight but park advocates cite 'excellent safety record',10/26/16
" and don't put them in jewelry, either. the vatican's congregation for the doctrine of the faith issued updated instructions tuesday on rules for cremation. the church reiterated its approval of cremation, but emphasized the need to bury them -- all in one place -- in cemeteries or other ""sacred places."" ""it is not permitted to scatter the ashes of the faithful departed in the air, on land, at sea or in some other way, nor may they be preserved in mementos, pieces of jewelry or other objects,"" the instructions say. ashes also can't be divvied up among family members. the church says the goal is to keep the ashes together at a location where the departed won't be ""excluded"" from prayers. cremation gained bonafides from the church in 1963, when it was decided that sacraments and funeral rites should not be denied to catholics who have asked for cremation -- as long as the choice wasn't made as a reproach of the church. ""during the intervening years, the practice of cremation has notably increased in many countries, but simultaneously new ideas contrary to the church's faith have also become widespread,"" the congregation said in its new instructions. while at death the soul is separated from the body, the instructions state, at the time of the resurrection ""god will give incorruptible life to our body"" reunited with the soul. ""by burying the bodies of the faithful, the church confirms her faith in the resurrection of the body, and intends to show the great dignity of the human body as an integral part of the human person whose body forms part of their identity,"" the instructions say. ""she cannot, therefore, condone attitudes or permit rites that involve erroneous ideas about death, such as considering death as the definitive annihilation of the person, or the moment of fusion with mother nature or the universe, or as a stage in the cycle of regeneration, or as the definitive liberation from the 'prison' of the body",NEWS; Pg. 5A,USA TODAY,"Vatican: Cremation OK, with caveats; Ashes must be buried in cemeteries or other 'sacred places'",10/26/16
" although new york has strong gun-control laws, the flow of guns from other states has hampered its ability to control gun crime, attorney general eric schneiderman said in the report. ""the data makes one thing abundantly clear: new york's strong gun laws are being undermined at every turn by lax laws in other states,"" schneiderman, set to release the report later tuesday, said in a statement. he said 86% of handguns from  2010 to  2015 recovered by law enforcement in new york came from out of state. schneiderman said the high rates show that new york's gun woes are the result of other states' porous laws. ""the point of the report today is to prove that no matter how tough your laws are, if we do not have better laws in other states and better laws at the federal level, guns will continue to flow into the hands of criminals,"" he said at a manhattan news conference. the report examined the purchase history of the nearly 53,000 ""crime guns"" recovered by law enforcement in new york from  2010 to  2015. a ""crime gun"" was defined as any gun connected to a crime secured by law enforcement. the data, based on an examination of federal bureau of alcohol, tobacco, firearms and explosives statistics, showed that the problem of illegal guns emanates from states with weaker gun laws. that's particularly the case along the east coast's interstate 95 corridor, including states such as florida, georgia, north carolina, pennsylvania, south carolina and virginia, schneiderman said. of the 52,915 firearms recovered from  2010 to  2015, only 6%, or almost 3,200, came from the possessor who was the original purchaser. at nearly 40 recoveries per 100,000 people last year, new york's per-capita recovery rate was half the national average of 84 per 100,000 people",NEWS; Pg. 4A,USA TODAY,74% of 'crime' guns from out of state,10/26/16
" schneiderman said his bill would prohibit non-compete agreements that bind employees under a certain wage threshold and are broader than needed to protect trade secrets. it also would require employers to provide the contracts to job candidates before making an offer and to pay additional compensation if they sign them. and his proposal would limit the duration of non-compete restraints, which typically prevent employees from working for rival companies for a limited period of time. ""workers should be able to get a new job and improve their lives without being afraid of being sued by their current or former employer,"" schneiderman said in a statement. separately, the white house issued a ""call to action"" for states to crack down on the unfair use of the agreements by approving limits similar to those proposed by schneiderman. the white house also recommended banning the clauses for workers in certain occupations that promote public health and safety, and as well as those who are laid off or fired without cause. ""we have the most dynamic, productive workers in the world, but they can't reach their true potential without freedom to negotiate for a higher wage with a new company, or to find another job after they've been laid off,"" vice president joe biden wrote in a blog post. non-compete clauses are intended to prevent workers with trade secrets from transferring them to rival firms. but the obama administration says they're being wielded too broadly, with 18% of american workers, or 30 million, currently covered by the agreements. the pacts are restricting about 15% of workers without a college degree and 14% of those who earn less than $40,000 a year. they've even spread to low-wage workers in fast food and warehousing. earlier this year, the jimmy john's sandwich chain agreed to stop requiring non-compete agreements as part of a settlement with the new york attorney general's office. schneiderman reached similar settlements with legal news site law360 and medical services company emsi. although wage growth recently has picked up from the modest pace that has prevailed through the recovery, it remains lower than many economists expected in light of the near-normal 5% unemployment rate. meanwhile, many businesses are struggling to find workers, and hold on to existing ones, in a tight labor market",MONEY; Pg. 2B,USA TODAY,"Bill seeks to curb non-compete clauses; N.Y. attorney general says agreements hurt wages, worker mobility",10/26/16
" the denver-based company reported monday third-quarter net income of $7.8 million, a dramatic fall from $144.9 million a year ago. per-share earnings totaled 27 cents, compared with $4.59 a year ago. that was well short of the $1.60 estimated by analysts polled by s&p global market intelligence. shares of chipotle fell 2.8% in after-hours trading to $394. the stock has fallen about 38% in the last 12 months. revenue sank 14.8% year-over-year to $1 billion during the quarter despite the fact it opened 54 new restaurants with only one closing. its restaurants are clearly struggling from the food safety issue that sickened customers last year and forced the closure of some restaurants. comparable restaurant sales -- or sales of restaurants  open at least a year -- tumbled 21.9%. comparable restaurant sales are estimated to fall again ""in the low single-digits"" in the fourth quarter, it said. the company's management is more optimistic for 2017, partly due to the lower base of comparison. comparable restaurant sales will increase ""in the high single-digits,"" it estimated monday. and the company will open 195 to 210 new restaurant next year, after opening more than 220 this year. per-share earnings next year will be $10, it estimated. ""we continued to make steady progress in our sales recovery during the third quarter. we are earning back our customers' trust, and our research demonstrates that people are feeling better about our brand, and the quality of our food,"" steve ells, founder, chairman and co-ceo of chipotle, said in a statement. chipotle's hallmark was quick, tasty meals  with fresh ingredients, making it a hit with increasingly health-conscious consumers. but its reputation was tarnished last year after several e.coli and norovirus outbreaks left customers ill in 11 states",MONEY; Pg. 3B,USA TODAY,Chipotle Q3 income plunges as food safety woes take toll,10/26/16
" during those three intensive days spent brainstorming new technologies, her start-up was born, and so, too, was her mission: to bring together latinos so they can envision a career in the tech industry. over the weekend, huaranca hosted a 54-hour event for dozens of latinos to hack solutions to such real-world problems as boosting inclusion and empathy in the workplace using artificial intelligence and virtual reality and creating a system for u.s. investors to lend money to small-business owners in mexico. ""generational wealth will be created in tech, and i don't want my community to be left behind given that we over-index in consumption of tech,"" huaranca told usa today. huaranca is one of silicon valley's few latina venture capitalists. her efforts come at a critical moment for the tech industry, which is grappling with its lack of diversity, especially latinos. by 2060, more than a quarter of the u.s. population will be latino, representing more than $1 trillion in economic power and a major opportunity for the tech industry. yet in silicon valley tech companies, latinos comprise a distinct minority, making up 6% of employees vs. the 22% of employees in non-tech firms in the area, according to the equal employment opportunity commission. at major silicon valley tech companies, that percentage is far smaller. even more striking: latinos are rare among the ranks of entrepreneurs and investors. less than 1% of venture-backed start-ups has a latino founder, according to cb insights, even though hispanics drive new business formation in the u.s. as a tech investor, huaranca says she does not get a lot of pitches from latino tech entrepreneurs. latinx start-up weekend, she says, is designed to change that by giving latinos access to the networks and the industry they hope to join. pronounced la-teen-ex, latinx is a gender-neutral term huaranca uses to put the spotlight on the intersectionality of the latin-american identity across race, gender and language. the breadth of that identity poses a challenge: how to organize a community that is so diverse. the latino community has been a ""voiceless majority"" because the conversation on diversity in tech ""is focused on gender, or it's focused on race,"" huaranca said. ""but this community is an ethnicity, and it's every race. it's black. it's asian. it's latino. it's indigenous."" huaranca's own family reflects that ""racial complexity."" ""my great grandmother is afro-peruvian on my mother's side. my grandmother on my dad's side is half cantonese-peruvian",MONEY; Pg. 3B,USA TODAY,"A start-up weekend for Latinos, by Latinos; As Silicon Valley wrestles with diversity, Latinx offers chance to network, brainstorm",10/26/16
" the married couple of  13 years played volatile exes on nbc's parks and recreation, and recently wrapped a raunchy, musical comedy tour about their relationship called summer of 69: no apostrophe. now, they're stopping by thursday's second-season opener of cbs comedy life in pieces (9:30 et/pt), in which mullally plays mary-lynn, cheery mother of  teenage clementine (hunter king), whom she raised with her brother spencer (offerman) when her husband left. offerman and mullally caught up with usa today to chat about their touchy-feely team-up, that will & grace reunion and what's next: q what'd you think when (life in pieces creator) justin adler approached you guys about playing siblings? megan mullally: we liked the idea. the fact that they wanted us to play this brother and sister who are suspiciously close to one another, we sort of gravitated toward. q are they actually incestuous? i know they sleep in twin beds in the same room, but i still wasn't sure. mullally: neither are we, and i think that's the point. you're not really supposed to know what it is exactly. q have you ever been mistaken for siblings? nick offerman: i should only be so lucky. mullally: only when i have a beard. q how did playing them compare to ron swanson and tammy two on parks and recreation? mullally: they're very physical, but they get along much, much better than ron and tammy. they're much more affectionate. q megan, you recently reunited with your will & grace co-stars for an election-themed video. how'd it feel to step back into karen's shoes? mullally: oh, it was so much fun. it was really weird, it felt like we had just been away for the weekend or something. we all just slid right back into it and had a blast. q many people on twitter thought you were announcing a new season. is that something you'd be interested in? mullally: yeah. it's something that's been talked about. i don't know what will happen, but it's an idea that's been bandied about. q you just wrapped a joint comedy tour. are you working on anything else together? mullally: we're going to write a comedy book about relationships and marriage, based on our triumphs and union. also, nick and i are in the process of starting to think about a television show that we can do together. it'd be something that we'd both act in and probably play a couple, but we're still bandying a couple ideas about. q what's the best piece of relationship advice you'd give to other couples in the business? mullally: it seems that most couples who are both actors don't want to work together; they keep everything very separate",LIFE; Pg. 3D,USA TODAY,"Real-life couple plays sibs in 'Life'; Megan Mullally, Nick Offerman team up for sister/ brother cameo on 'Life in Pieces'",10/26/16
" rather, they're horror movies, which have spooked up a spine-tingling $575.4 million so far this year, according to tracking firm comscore. led by the conjuring 2 ($102.5 million), don't breathe ($88.6 million) and the purge: election year ($79 million), the genre is enjoying its biggest year since 2013, when supernatural hits world war z ($202.4 million) and the first conjuring ($137.4 million) helped horror numbers soar to a whopping $860 million total. it shows no signs of stopping, either. with halloween just around the corner, two more fright films walked away with treats this past weekend: tyler perry comedy boo! a madea halloween ($28.5 million), which bowed at no. 1; and board game-inspired sequel ouija: origin of evil ($14.1 million), which opened softer than its 2014 predecessor ($19.9 million; $50.9 million total), but still surpassed its $9 million budget. the uptick can possibly be attributed to higher-caliber horror movies being released into the marketplace, says paul dergarabedian, senior media analyst for comscore. of this year's 10 highest earners in the genre, six have ""fresh"" scores of 75% or higher on review aggregate site rottentomatoes.com. ""even if the audience didn't read the reviews, the collective positivity around many of the horror movies this year allowed them to have playability,"" dergarabedian says. ""that's very rare, particularly in the horror genre."" oftentimes, ""they make a lot of money really quick and then they're gone. this year, we're not seeing so much of that."" with a bout of hollywood ""sequelitis"" still lingering from this summer, moviegoers who aren't typically horror fans may also be gravitating toward the genre. some of this year's biggest crossover successes include lights out ($67.3 million), the witch ($25.2 million) and the forest ($26.6 million), all of which are original movies made on budgets of $10 million or less, with mostly unknown directors and actors. ""there have been so many movies this year that performed lower than expected at the box office that were either reboots or sequels,"" says brendan morrow, a features writer for horror site bloodydisgusting.com. ""horror has been one of the only genres this year that has had consistently original films. we're seeing an appetite for fresh concepts."" past years have been dominated by specific horror subgenres, from ""torture porn"" such as freddy vs. jason and the saw movies in the early 2000s, to the ""found footage"" craze revived by cloverfield and the paranormal activity franchise more recently. morrow expects to see more throwbacks to the genre, which includes reboots it, rings, friday the 13th and amityville: the awakening all due next year. ""we're in a weird transition period,"" morrow says. ""i don't know that we have another big (trend) right now, but i do feel (films like) don't breathe and the shallows are all playing on an old genre with a new spin we haven't seen before. the shallows is a shark movie, but instead of being trapped in the middle of the water, you're right by the shore. don't breathe is like a home invasion movie, but from the perspective of the invaders",LIFE; Pg. 2D,USA TODAY,"Why horror flicks are back with a vengeance; Riding on strong reviews, the genre has hit a 3-year box-office peak",10/26/16
" ""i kind of looked at them like, 'oh, cool, death troopers,' and then suddenly stopped and thought, 'hang on a minute, this is my film. i'm never going to be in a position where it's  (again) part of popular culture,'"" says edwards. the dreaded empire hasn't been seen on the big screen since it was upended by luke skywalker and the rebel alliance in 1983's return of the jedi. but with rogue one (in theaters dec. 16) -- featuring a tale that takes place before the events of the first star wars film  of 1977 -- edwards takes the reins of george lucas' bad guys, including the legendary darth vader. the filmmaker blends the fresh and the familiar in rogue one, which focuses on the construction of the weaponized battle station, the death star, and the rebel mission to steal its plans. blocky-winged tie fighters from lucas' original trilogy share space with more aerodynamic tie strikers. and vader looms again as an antagonistic presence alongside director orson krennic, a new imperial officer played by ben mendelsohn (bloodline) and the boss of the darkly colored death trooper squad. because top men in the empire such as grand moff tarkin -- played in the original star wars by peter cushing -- are upper-class types, edwards recalls mendelsohn asking if he should adopt ""a very posh english accent."" but the director preferred krennic, the man in charge of the advanced weapons research wing of the imperial military, not be a part of that boys club. ""it feels like if the empire ever have a job vacancy, they go to the royal shakespeare company to headhunt people,"" edwards says. ""i like the idea that ben's character was much more working-class"" and rose in the ranks ""through sheer force of personality and ideas."" that said, the director adds, krennic ""hits a brick wall in the hierarchy where they won't let him in the club and it's going to turn into a them-or-us situation: either krennic or tarkin and the others."" working with vader, though, was on another level for edwards. voiced again by james earl jones and featuring various  actors inhabiting the old battle armor and helmet, vader is used sparingly in rogue one, yet whenever he power-walked into a scene, everybody around morphed into a 4-year-old, according to the director. ""it's like we're at the playground again and there's this hero sort of standing there,"" edwards says. ""you end up very respectful of him: even though you know there's a guy inside the outfit, you still talk to him like he's vader."" while filming one of krennic's first scenes interacting with the sith lord, in the middle of a take mendelsohn called edwards over, and the director was nervous something was wrong. ""he went, 'it's darth vader. we filmed with darth vader,'"" edward says. ""and i was like,'i know. it's amazing, isn't it?' it was like no one wanted to admit that they're having a little fanboy freakout, but everyone did. it's impossible not to",LIFE; Pg. 2D,USA TODAY,"See the start of the Empire, Death Star in latest prequel; Old and new villains in time-bending thrill ride for fans",10/26/16
" a closely-watched index of americans' outlook declined to 98.6 from a downwardly revised 103.5 in september, the highest since early 2015. consumers' perceptions of both current conditions and the six-month outlook dimmed. economists expected a more modest drop to 101.5, according to a bloomberg survey. monthly job growth slowed to an average 161,000 in august and september after booming gains the previous two months and is averaging 178,000, down from 229,000 in 2015. but with unemployment at 5%, employers are struggling to find workers, handing job candidates more leverage and nudging up wage increases. and although pump prices have increased in recent months, regular unleaded is still a bargain at $2.22, roughly flat over the past month and the past year. some economists have said uncertainty tied to a divisive presidential election may be dinging consumer optimism. ""the drop in consumer confidence was broad-based and was driven by heightened levels of political uncertainty, rising gasoline prices and a lackluster jobs report,"" economist chris christopher of ihs global insight wrote in a note to clients. and earlier this month, the university of michigan chalked up a sharp drop in its sentiment index to the negative impact of uncertainty related to the presidential race, especially among lower-income consumers. in october, 26.2% of those surveyed said business conditions are ""good,"" down from 27.7% the previous month. the share saying conditions are ""bad"" jumped to 17.7% from 15.8%. and the portion saying jobs are ""plentiful"" fell to 24.3% from 27.6%. americans were also less optimistic, with 13.1% expecting more jobs in the months ahead, down from 15.7%. the share expecting fewer jobs dropped to 17% from 18.1%. yet 17.5% expect their incomes to increase, unchanged from a month ago",MONEY; Pg. 5B,USA TODAY,"Election, jobs cited as consumer confidence falls in October",10/26/16
" kaleo, which makes the auvi-q, will reintroduce the epinephrine auto-injector at a ""very, very low"" cost to patients, kaleo ceo spencer williamson said. mylan specialty, the maker of epipen, came under fire from members of congress and parents beginning in august for its large price increases. it's been a long road to epipen competition. drugmaker sanofi, which previously licensed the auvi-q from kaleo, voluntarily recalled all of the injectors  last year amid concerns about  dosing. sanofi later sold the rights back to kaleo, which says it fixed the problem and invested in new technology and quality systems to boost reliability. in march, the food and drug administration rejected an application by teva pharmaceuticals to produce a generic version of the epipen, citing ""certain major deficiencies."" impax labs has a generic version of the epipen that can be substituted for epipens in 21 states. last month, mylan ceo heather bresch told a house panel that the company would introduce its own generic of its brand-name product. data out tuesday showed epipen prescriptions increased despite  price hikes in the past few years, athenahealth reported. the share of prescriptions for alternatives were also up last month, athenahealth found. the move toward high-deductible insurance plans led many  to struggle more with mylan's price increases over the past two years. when insurers and employers cover more of the costs of high-priced drugs through low deductibles and co-payments, premiums go up for everyone, drug pricing experts say. williamson downplayed those concerns tuesday",NEWS; Pg. 1A,USA TODAY,"Key EpiPen competitor due in 2017 at 'very, very low' cost",10/27/16
" michelle obama, the reluctant campaigner who can't wait to move out of the white house, has suddenly become hillary clinton's secret weapon, capturing headlines with passionate and personal speeches promoting the former secretary of state and castigating her opponent. white house aides say the first lady is more valuable on the campaign trail than even the president -- ""probably the most powerful advocate that secretary clinton has,"" said press secretary josh earnest. just as president obama's effort to get clinton elected has made him the most active lame-duck presidential campaigner in history, historians say michelle obama is perhaps the most active first lady to campaign for someone other than her husband. before clinton -- who is, after all, a former first lady and senator herself -- eleanor roosevelt was the most active first lady in history. sen. john f. kennedy repeatedly courted her for her support in 1960, and when it came it was more in the form of behind-the-scenes advice than public pronouncements. michelle obama, on the other hand, has taken an ever more visible role on the campaign trail, with recent speeches in new hampshire and arizona that garnered national television audiences. she'll appear side-by-side with clinton on thursday in winston-salem, n.c. ""i don't think we've seen anything like this before,"" said kate andersen brower, the author of first women: the grace and power of america's modern first ladies. ""she is a godsend to the clinton campaign."" that's partly because mrs. obama complements clinton's perceived weaknesses. ""michelle is kind of a moral compass,"" brower said. ""she can talk about topics that hillary clinton can't. clinton hasn't really talked about her husband's transgressions in the white house. the obamas don't have that same stain on them."" that's partly because michelle obama has largely been above the fray of partisan politics during the past eight years, choosing to focus on relatively non-controversial causes like nutrition, military families and the rights of young girls around the globe. brower points to what has become michelle obama's signature line of the 2016 campaign. ""when they go low, we go high,"" ""she can say that,"" brower said. at a party fundraiser in california this week, the president said the first lady would just as soon stay off the campaign trail. ""some of you may be aware of the fact that michelle does not really love politics. this was not her first choice for me. she would have preferred a quieter life, a little bit more out of the limelight,"" he said. ""but the passion that she's brought to campaigning this time speaks to the degree that this election is different, the choice is different."" such is her popularity that even donald trump himself -- known for late-night twitter broadsides against gold star families, miss universe contestants and television anchors -- has said barely a word about the first lady, even as she attacks him. ""we have a president, all he wants to do is campaign. his wife, all she wants to do is campaign,"" trump complained last week. michelle obama's approval ratings are head-and-shoulders above clinton's, trump's or even the president's. an august gallup poll put the first lady's approval ratings at 64%, vs. those of the possible candidates to succeed her in the east wing: bill clinton (49%) and melania trump (38%). ""she is somebody who enjoys the deep respect of a large majority of americans,"" earnest said. ""she also is somebody who's a very persuasive speaker, she is somebody who has been able to make a forceful personal case about why she's involved in this election. and yes, i think the president would admit that his wife is an enormously influential and powerful surrogate in support of secretary clinton."" previous first ladies, like barbara and laura bush, maintained high popularity by largely staying above the political fray. michelle obama's approval ratings increased by 6 percentage points after her democratic national convention speech. in that speech, she prosecuted the character argument against trump in a way that only the mother in chief could. ""with every word we utter, with every action we take, we know our kids are watching us,"" she said. ""this election, and every election, is about who will have the power to shape our children for the next four or eight years of their lives",NEWS; Pg. 8A,USA TODAY,CLINTON'S BEST CAMPAIGN SURROGATE: THE OTHER OBAMA; First lady a 'moral compass' who broaches topics nominee can't,10/27/16
" the married couple, whose fixer upper is the top-rated show on hgtv, are busy building a brand along with their home improvement empire in waco, texas. their book, the magnolia story, lands at no. 2. on their show, which returns for a fourth season on nov. 29, they renovate and redecorate homes with the tag line: ""are you ready to see your fixer upper?"" chip does the construction, joanna is the decorator. the no. 2 debut for an hgtv book is impressive. in april, jonathan and drew scott (property brothers) made it to no. 56 with dream home. and nicole curtis, who has the hgtv show rehab addict, published a new book the same day as the gaineses. her better than new lands at no. 116. hart and soul: youtube personality hannah hart has cooked up her first usa today top 50 best seller with her new book buffering: unshared tales of a life fully loaded, which lands at no. 30. her first book, my drunk kitchen, inspired by her comical youtube videos that document her kitchen misadventures while imbibing, peaked at no. 83 in 2014. this time around, hart has written a memoir that draws on her journals. as she writes on her book jacket: ""as a professional digital demigod, i spend a lot of time walking the line between public and private. however, there is only so much that can be communicated through 140 characters or a six-minute vlog",LIFE; Pg. 3D,USA TODAY,Book Buzz; NEW ON THE LIST AND IN PUBLISHING,10/27/16
